ACTIVITY PATTERNS,
type,data-set,entityid,activityclass,type,category,claimlosstype,code,subject,description,mandatory,priority,importance,recurring,targetdays,targetincludedays,targetstartpoint,targetbuscaltag,escalationdays,escalationincldays,escalationstartpt,escalationbuscaltag,closedclaimavlble,automatedonly,command,externallyowned
ActivityPattern,0,default_data:10001,task,general,reminder,,general_reminder,General reminder (diary),,false,normal,notOnCalendar,false,,,,companyholidays,,,,companyholidays,false,false,,false
ActivityPattern,0,default_data:10002,task,general,reminder,,coverage,Verify coverage,,true,high,notOnCalendar,false,2,businessdays,claimnotice,companyholidays,10,businessdays,claimnotice,companyholidays,false,false,,false
ActivityPattern,0,default_data:10032,task,general,reminder,,coverage_question,Review coverage in question,,true,high,notOnCalendar,false,2,businessdays,claimnotice,companyholidays,10,businessdays,claimnotice,companyholidays,false,false,,false
ActivityPattern,0,default_data:10003,task,general,interview,,contact_insured,Make initial contact with insured,,false,urgent,notOnCalendar,false,1,businessdays,claimnotice,companyholidays,5,businessdays,claimnotice,companyholidays,false,false,,false
ActivityPattern,0,default_data:10004,task,general,interview,,contact_claimant,Make initial contact with claimant,,false,urgent,notOnCalendar,false,2,businessdays,claimnotice,companyholidays,5,businessdays,claimnotice,companyholidays,false,false,,false
ActivityPattern,0,default_data:10005,task,general,request,,police_report,Get police report,,false,normal,notOnCalendar,false,10,businessdays,claimnotice,companyholidays,,,,companyholidays,false,false,,true
ActivityPattern,0,default_data:10006,task,general,request,,vehicle_inspection,Get vehicle inspected,,false,normal,notOnCalendar,false,5,businessdays,activitycreation,companyholidays,15,businessdays,activitycreation,companyholidays,false,false,,true
ActivityPattern,0,default_data:10007,task,general,request,,property_inspection,Get property inspected,,false,normal,notOnCalendar,false,5,businessdays,activitycreation,companyholidays,15,businessdays,activitycreation,companyholidays,false,false,,true
ActivityPattern,0,default_data:10008,task,general,request,,scene_inspection,Get accident scene inspected,,false,normal,notOnCalendar,false,5,businessdays,claimnotice,companyholidays,,,,companyholidays,false,false,,true
ActivityPattern,0,default_data:10009,task,general,interview,,witness_statement,Get a statement from witness,,false,normal,notOnCalendar,false,3,businessdays,claimnotice,companyholidays,,,,companyholidays,false,false,,true
ActivityPattern,0,default_data:10010,task,general,request,,medical_report_claimant,Get claimant medical reports,,false,normal,notOnCalendar,false,10,businessdays,activitycreation,companyholidays,,,,companyholidays,false,false,,true
ActivityPattern,0,default_data:10011,task,general,request,,IME,Get independent medical examination,,false,normal,notOnCalendar,false,10,businessdays,activitycreation,companyholidays,,,,companyholidays,false,false,,true
ActivityPattern,0,default_data:10012,task,general,reminder,,initial_30day_review,Initial 30 day file review,,false,normal,notOnCalendar,false,30,elapsed,activitycreation,companyholidays,,,,companyholidays,false,false,,false
ActivityPattern,0,default_data:10013,task,general,reminder,,30_day_diary,30 day diary,,false,normal,notOnCalendar,true,30,elapsed,activitycreation,companyholidays,,,,companyholidays,false,false,,false
ActivityPattern,0,default_data:10014,task,general,reminder,,60_day_diary,60 day diary,,false,normal,notOnCalendar,true,60,elapsed,activitycreation,companyholidays,,,,companyholidays,false,false,,false
ActivityPattern,0,default_data:10015,task,general,reminder,,90_day_diary,90 day diary,,false,normal,notOnCalendar,true,90,elapsed,activitycreation,companyholidays,,,,companyholidays,false,false,,false
ActivityPattern,0,default_data:10016,task,general,reminder,,closed_file_review,Closed File Review,,true,low,notOnCalendar,false,30,elapsed,activitycreation,companyholidays,,,,companyholidays,true,false,,false
ActivityPattern,0,default_data:10017,task,general,reminder,,employee_review,Performance Review,,true,low,notOnCalendar,false,30,elapsed,activitycreation,companyholidays,,,,companyholidays,true,false,,false
ActivityPattern,0,default_data:10018,task,general,reminder,,fnol_review,Review new claim setup,,true,urgent,notOnCalendar,false,0,elapsed,activitycreation,companyholidays,2,elapsed,activitycreation,companyholidays,false,true,,false
ActivityPattern,0,default_data:10019,task,general,reminder,WC,claim_acceptance,Determine compensability,Determine whether claim should be accepted or denied or delayed,true,high,high,false,5,businessdays,claimnotice,companyholidays,7,businessdays,claimnotice,companyholidays,false,true,,false
ActivityPattern,0,default_data:10020,task,general,reminder,,notify_reinsurer,Notify reinsurer,,false,normal,notOnCalendar,false,5,businessdays,claimnotice,companyholidays,5,businessdays,claimnotice,companyholidays,true,false,,false
ActivityPattern,0,default_data:10021,task,general,request,,fraud_review,SIU referral,Review for possible fraud,false,high,notOnCalendar,false,3,elapsed,activitycreation,companyholidays,5,businessdays,activitycreation,companyholidays,false,false,,true
ActivityPattern,0,default_data:10022,task,general,request,,legal_review,Legal review,Referral to Legal Counsel,false,high,notOnCalendar,false,3,elapsed,activitycreation,companyholidays,5,businessdays,activitycreation,companyholidays,true,false,,true
ActivityPattern,0,default_data:10023,task,general,reminder,WC,health_statement,Get a statement from Health and Safety Dept,,false,urgent,notOnCalendar,false,2,businessdays,claimnotice,companyholidays,5,businessdays,claimnotice,companyholidays,false,false,,false
ActivityPattern,0,default_data:10024,task,general,request,,quote,Get quote for repairs/replacement,,false,normal,notOnCalendar,false,5,businessdays,activitycreation,companyholidays,15,businessdays,activitycreation,companyholidays,false,false,,true
ActivityPattern,0,default_data:10025,task,general,reminder,WC,settlement_offer,Make settlement offer,Offer in lieu of repairs/replacement,false,normal,notOnCalendar,false,5,businessdays,activitycreation,companyholidays,15,businessdays,activitycreation,companyholidays,false,false,,false
ActivityPattern,0,default_data:10026,task,general,reminder,,review_quote,Review and approve quote for repairs/replacement,,false,normal,notOnCalendar,false,5,businessdays,activitycreation,companyholidays,15,businessdays,activitycreation,companyholidays,false,false,,true
ActivityPattern,0,default_data:10027,task,general,reminder,WC,decision_date,Decision Date Review,Determine final decision on claim acceptance,true,normal,notOnCalendar,false,20,elapsed,lossdate,companyholidays,25,elapsed,lossdate,companyholidays,false,false,,false
ActivityPattern,0,default_data:10028,task,general,reminder,,last_payment_reminder,Recurring payment stream ending,"Recurring payment stream is about to end. If necessary, add additional payments. See Financials Transaction screen for details.",false,normal,notOnCalendar,false,7,elapsed,activitycreation,companyholidays,,,,companyholidays,false,true,,false
ActivityPattern,0,default_data:10029,task,general,request,,damaged_items,Get list of damaged items,Get list of damaged items from Insured,false,normal,medium,false,2,businessdays,activitycreation,companyholidays,,,,companyholidays,false,false,,false
ActivityPattern,0,default_data:10030,task,general,request,,living_expenses,Additional living expenses required,Contact Insured about additional Living Expenses,false,normal,medium,false,7,businessdays,activitycreation,companyholidays,,,,companyholidays,false,false,,false
ActivityPattern,0,default_data:10033,task,general,request,WC,class_code_review,Contact Underwriter regarding incorrect class code,Contact Underwriter regarding incorrect class code for policy location,false,normal,medium,false,3,businessdays,activitycreation,companyholidays,,,,companyholidays,false,false,,false
ActivityPattern,0,default_data:11001,task,general,correspondence,WC,first_report,File Employer's First Notice,,true,high,notOnCalendar,false,2,businessdays,claimnotice,companyholidays,10,businessdays,claimnotice,companyholidays,false,false,,false
ActivityPattern,0,default_data:11002,task,general,request,WC,employee_notice,Get Employee's Notice of Injury,,true,high,notOnCalendar,false,2,businessdays,claimnotice,companyholidays,10,businessdays,claimnotice,companyholidays,false,false,,true
ActivityPattern,0,default_data:11003,task,general,request,WC,wage_stmt,Get wage statement and tax status,,true,high,notOnCalendar,false,5,businessdays,claimnotice,companyholidays,10,businessdays,claimnotice,companyholidays,false,false,,true
ActivityPattern,0,default_data:11004,task,general,reminder,,subro_check,Determine if opportunity for recovery,,false,normal,notOnCalendar,false,15,businessdays,activitycreation,companyholidays,,,,companyholidays,true,false,,false
ActivityPattern,0,default_data:11005,task,general,reminder,,rehab_nurse,Assign nurse to case,,false,normal,notOnCalendar,false,5,businessdays,activitycreation,companyholidays,,,,companyholidays,false,false,,true
ActivityPattern,0,default_data:11006,task,general,reminder,WC,notice_cost_above_threshold,Notify account - expected cost above threshold,,true,normal,notOnCalendar,false,3,businessdays,activitycreation,companyholidays,,,,companyholidays,false,false,,false
ActivityPattern,0,default_data:11007,task,general,reminder,WC,med_clear_for_light_duty,Check on medical clearance for light duty work,,false,normal,notOnCalendar,false,3,businessdays,activitycreation,companyholidays,,,,companyholidays,false,false,,false
ActivityPattern,0,default_data:11008,task,general,request,WC,vol_agreement,Get signed Voluntary Agreement,,true,normal,notOnCalendar,false,10,businessdays,activitycreation,companyholidays,20,businessdays,activitycreation,companyholidays,false,false,,true
ActivityPattern,0,default_data:11009,task,general,request,,initial_med_report,Get initial medical report,,true,normal,notOnCalendar,false,5,businessdays,claimnotice,companyholidays,,,,companyholidays,false,false,,true
ActivityPattern,0,default_data:11010,task,general,reminder,WC,employer_light_duty,Check with employer about temp light duty work,,false,normal,notOnCalendar,false,3,businessdays,activitycreation,companyholidays,,,,companyholidays,false,false,,false
