type,data-set,entityid,permission,role
RolePrivilege,0,default_data:2,abview,adjuster
RolePrivilege,0,default_data:3,abviewsearch,adjuster
RolePrivilege,0,default_data:4,actcreate,adjuster
RolePrivilege,0,default_data:5,actcreateclsd,adjuster
RolePrivilege,0,default_data:6,actown,adjuster
RolePrivilege,0,default_data:7,actqueuenext,adjuster
RolePrivilege,0,default_data:8,actraown,adjuster
RolePrivilege,0,default_data:9,actraunown,adjuster
RolePrivilege,0,default_data:10,actview,adjuster
RolePrivilege,0,default_data:12,anytagview,adjuster
RolePrivilege,0,default_data:13,assocmanage,adjuster
RolePrivilege,0,default_data:14,assocview,adjuster
RolePrivilege,0,default_data:15,bulkinvcreate,adjuster
RolePrivilege,0,default_data:16,bulkinvdelete,adjuster
RolePrivilege,0,default_data:17,bulkinvedit,adjuster
RolePrivilege,0,default_data:18,bulkinvview,adjuster
RolePrivilege,0,default_data:19,checktransfer,adjuster
RolePrivilege,0,default_data:20,claimclose,adjuster
RolePrivilege,0,default_data:21,claimcreate,adjuster
RolePrivilege,0,default_data:22,claimedit,adjuster
RolePrivilege,0,default_data:23,claimintegadmin,adjuster
RolePrivilege,0,default_data:24,claimown,adjuster
RolePrivilege,0,default_data:25,claimprint,adjuster
RolePrivilege,0,default_data:26,claimprtsmanage,adjuster
RolePrivilege,0,default_data:27,claimraown,adjuster
RolePrivilege,0,default_data:28,claimraunown,adjuster
RolePrivilege,0,default_data:29,claimreopen,adjuster
RolePrivilege,0,default_data:30,claimselectplcy,adjuster
RolePrivilege,0,default_data:31,claimusermanage,adjuster
RolePrivilege,0,default_data:32,claimvalidate,adjuster
RolePrivilege,0,default_data:33,claimview,adjuster
RolePrivilege,0,default_data:34,claimviewpay,adjuster
RolePrivilege,0,default_data:35,claimviewrec,adjuster
RolePrivilege,0,default_data:36,claimviewrecres,adjuster
RolePrivilege,0,default_data:37,claimviewres,adjuster
RolePrivilege,0,default_data:38,ctccreate,adjuster
RolePrivilege,0,default_data:39,ctcedit,adjuster
RolePrivilege,0,default_data:40,ctcview,adjuster
RolePrivilege,0,default_data:41,doccreate,adjuster
RolePrivilege,0,default_data:42,doccreateclsd,adjuster
RolePrivilege,0,default_data:43,docedit,adjuster
RolePrivilege,0,default_data:44,docview,adjuster
RolePrivilege,0,default_data:45,editSensMCMdetails,adjuster
RolePrivilege,0,default_data:46,editsubrodetails,adjuster
RolePrivilege,0,default_data:47,evalcreate,adjuster
RolePrivilege,0,default_data:48,evaledit,adjuster
RolePrivilege,0,default_data:49,evalview,adjuster
RolePrivilege,0,default_data:50,expclose,adjuster
RolePrivilege,0,default_data:51,expcreate,adjuster
